"","TREND_DATE","BUILDING_GROUP","CONSUMPTION"
"1",2016-01-25,"Academic",4721.36116
"2",2016-01-26,"Academic",4819.61491
"3",2016-01-27,"Academic",4653.20688
"4",2016-01-28,"Academic",4459.98868
"5",2016-01-29,"Academic",4342.24083
"6",2016-01-30,"Academic",3484.77443
"7",2016-01-31,"Academic",3419.97323
"8",2016-02-01,"Academic",4358.35582
"9",2016-02-02,"Academic",4380.23019
"10",2016-02-03,"Academic",4528.41782
"11",2016-02-04,"Academic",4630.77375
"12",2016-02-05,"Academic",4602.64245
"13",2016-02-06,"Academic",3586.42531
"14",2016-02-07,"Academic",3585.76835
"15",2016-02-08,"Academic",4997.57574
"16",2016-02-09,"Academic",4914.06459
"17",2016-02-10,"Academic",4912.85568
"18",2016-02-11,"Academic",4937.03091
"19",2016-02-12,"Academic",4841.52199
"20",2016-02-13,"Academic",4037.07103
"21",2016-02-14,"Academic",3617.13397
"22",2016-02-15,"Academic",4978.02621
"23",2016-02-16,"Academic",4986.3408
"24",2016-02-17,"Academic",4863.18441
"25",2016-02-18,"Academic",4878.23242
"26",2016-02-19,"Academic",4987.10437
"27",2016-02-20,"Academic",3600.56395
"28",2016-02-21,"Academic",3754.91426
"29",2016-02-22,"Academic",5159.28907
"30",2016-02-23,"Academic",5118.47864
"31",2016-02-24,"Academic",5203.68829
"32",2016-02-25,"Academic",5040.17402
"33",2016-02-26,"Academic",4991.23335
"34",2016-02-27,"Academic",4101.69618
"35",2016-02-28,"Academic",3758.49692
"36",2016-02-29,"Academic",5277.80528
"37",2016-03-01,"Academic",4978.8068
"38",2016-03-02,"Academic",5093.13283
"39",2016-03-03,"Academic",5081.96125
"40",2016-03-04,"Academic",5230.19858
"41",2016-03-05,"Academic",4361.57557
"42",2016-03-06,"Academic",4390.73995
"43",2016-03-07,"Academic",5281.70316
"44",2016-03-08,"Academic",5541.27512
"45",2016-03-09,"Academic",5208.35308
"46",2016-03-10,"Academic",5074.01453
"47",2016-03-11,"Academic",5010.48135
"48",2016-03-12,"Academic",3636.63488
"49",2016-03-13,"Academic",3621.60866
"50",2016-03-14,"Academic",5198.37129
"51",2016-03-15,"Academic",5105.04595
"52",2016-03-16,"Academic",5013.83797
"53",2016-03-17,"Academic",4913.92865
"54",2016-03-18,"Academic",4602.17361
"55",2016-03-19,"Academic",3342.16812
"56",2016-03-20,"Academic",3496.5489
"57",2016-03-21,"Academic",3910.80429
"58",2016-03-22,"Academic",3687.87229
"59",2016-03-23,"Academic",3860.59054
"60",2016-03-24,"Academic",4295.72586
"61",2016-03-25,"Academic",3570.82094
"62",2016-03-26,"Academic",3511.02857
"63",2016-03-27,"Academic",3315.15006
"64",2016-03-28,"Academic",4653.01745
"65",2016-03-29,"Academic",5259.04791
"66",2016-03-30,"Academic",5181.66196
"67",2016-03-31,"Academic",5097.02567
"68",2016-04-01,"Academic",5069.46979
"69",2016-04-02,"Academic",3611.78594
"70",2016-04-03,"Academic",4022.70891
"71",2016-04-04,"Academic",5232.8797
