,month,year,METER_ID,BUILDING_GROUP,CONSUMPTION
1,1,2016,3,Academic,17089.24772
2,2,2016,3,Academic,74001.27486
3,3,2016,3,Academic,79676.19846
4,4,2016,3,Academic,80273.24353
5,5,2016,3,Academic,84408.86057
6,6,2016,3,Academic,91865.42936
7,7,2016,3,Academic,96185.99202
8,8,2016,3,Academic,99800.31458
9,9,2016,3,Academic,90713.21118
10,10,2016,3,Academic,84678.12441
11,11,2016,3,Academic,76758.63219
12,12,2016,3,Academic,73370.18809
13,1,2017,3,Academic,79922.18643
14,2,2017,3,Academic,72510.52415
15,3,2017,3,Academic,79676.83699
16,4,2017,3,Academic,76861.42932
17,5,2017,3,Academic,82318.57835
18,6,2017,3,Academic,90093.28229
19,7,2017,3,Academic,96018.9522
20,8,2017,3,Academic,84718.32715
21,9,2017,3,Academic,85180.6805
22,10,2017,3,Academic,80002.02523
23,11,2017,3,Academic,72109.68886
24,12,2017,3,Academic,75061.88477
25,1,2018,3,Academic,81588.17604
26,2,2018,3,Academic,72608.48849
27,3,2018,3,Academic,75395.92172
28,4,2018,3,Academic,74204.5446
29,5,2018,3,Academic,87757.68203
30,6,2018,3,Academic,82985.59917
31,7,2018,3,Academic,86737.30401
32,8,2018,3,Academic,86613.74538
33,9,2018,3,Academic,80630.14685
34,10,2018,3,Academic,76563.98402
35,11,2018,3,Academic,75132.56602
36,12,2018,3,Academic,73430.59846
37,1,2019,3,Academic,82975.03641
38,2,2019,3,Academic,77429.2595
39,3,2019,3,Academic,81327.62639
40,4,2019,3,Academic,76315.80699
41,5,2019,3,Academic,80184.01535
42,6,2019,3,Academic,76657.9445
43,7,2019,3,Academic,95247.72099
44,8,2019,3,Academic,81279.25924
45,9,2019,3,Academic,81261.54436
46,10,2019,3,Academic,72517.06263
47,11,2019,3,Academic,69678.50632
48,12,2019,3,Academic,68175.86433
49,1,2020,3,Academic,34854.53736
50,1,2016,7,Academic,2267.81112
51,2,2016,7,Academic,9863.81688
52,3,2016,7,Academic,10565.33967
53,4,2016,7,Academic,9457.14425
54,5,2016,7,Academic,8679.292286
55,6,2016,7,Academic,12112.53262
56,7,2016,7,Academic,11271.94866
57,8,2016,7,Academic,15078.22378
58,9,2016,7,Academic,14515.62683
59,10,2016,7,Academic,11338.97708
60,11,2016,7,Academic,10020.17916
61,12,2016,7,Academic,10153.34941
62,1,2017,7,Academic,9881.52198
63,2,2017,7,Academic,9518.33765
64,3,2017,7,Academic,10275.00681
65,4,2017,7,Academic,10007.64735
66,5,2017,7,Academic,8737.73657
67,6,2017,7,Academic,10132.2789
68,7,2017,7,Academic,11203.07166
69,8,2017,7,Academic,10436.44193
70,9,2017,7,Academic,11938.70538
71,10,2017,7,Academic,11050.74119
72,11,2017,7,Academic,9997.54026
73,12,2017,7,Academic,9485.68016
74,1,2018,7,Academic,9552.18061
75,2,2018,7,Academic,8872.21942
76,3,2018,7,Academic,9876.34136
77,4,2018,7,Academic,9698.19424
78,5,2018,7,Academic,9413.22994
79,6,2018,7,Academic,10246.41109
80,7,2018,7,Academic,11729.41306
81,8,2018,7,Academic,12788.70644
82,9,2018,7,Academic,14178.20609
83,10,2018,7,Academic,11105.07366
84,11,2018,7,Academic,10247.63299
85,12,2018,7,Academic,9962.38292
86,1,2019,7,Academic,9822.10584
87,2,2019,7,Academic,8896.10126
88,3,2019,7,Academic,10104.69251
89,4,2019,7,Academic,9857.11757
90,5,2019,7,Academic,11051.76916
91,6,2019,7,Academic,11026.51069
92,7,2019,7,Academic,14924.07947
93,8,2019,7,Academic,12804.70282
94,9,2019,7,Academic,12177.85719
95,10,2019,7,Academic,10597.94864
96,11,2019,7,Academic,9228.613946
97,12,2019,7,Academic,8683.27498
98,1,2020,7,Academic,4645.554886
99,1,2016,13,Academic,4692.47402
100,2,2016,13,Academic,24123.87319
101,3,2016,13,Academic,24279.27655
102,4,2016,13,Academic,26486.0617
103,5,2016,13,Academic,29305.8218
104,6,2016,13,Academic,43664.9937
105,7,2016,13,Academic,43449.07598
106,8,2016,13,Academic,34108.88279
107,9,2016,13,Academic,35294.5206
108,10,2016,13,Academic,26292.40466
109,11,2016,13,Academic,20720.20716
110,12,2016,13,Academic,18436.8155
111,1,2017,13,Academic,18067.70777
112,2,2017,13,Academic,18585.66022
113,3,2017,13,Academic,19295.98761
114,4,2017,13,Academic,17678.01432
115,5,2017,13,Academic,21367.69487
116,6,2017,13,Academic,33371.26467
117,7,2017,13,Academic,32936.95074
118,8,2017,13,Academic,28727.96131
119,9,2017,13,Academic,27444.61938
120,10,2017,13,Academic,22004.74761
121,11,2017,13,Academic,17987.5033
122,12,2017,13,Academic,16216.77495
123,1,2018,13,Academic,17293.6191
124,2,2018,13,Academic,16538.91034
125,3,2018,13,Academic,17726.68703
126,4,2018,13,Academic,17698.92164
127,5,2018,13,Academic,29547.30174
128,6,2018,13,Academic,37826.8582
129,7,2018,13,Academic,36357.86419
130,8,2018,13,Academic,33279.9841
131,9,2018,13,Academic,31738.18245
132,10,2018,13,Academic,19638.94173
133,11,2018,13,Academic,17787.20116
134,12,2018,13,Academic,15966.64741
135,1,2019,13,Academic,16743.25729
136,2,2019,13,Academic,17167.36875
137,3,2019,13,Academic,17698.08147
138,4,2019,13,Academic,19152.36106
139,5,2019,13,Academic,21565.98337
140,6,2019,13,Academic,29541.15931
141,7,2019,13,Academic,34399.31861
142,8,2019,13,Academic,30645.65088
143,9,2019,13,Academic,30589.97302
144,10,2019,13,Academic,18229.56041
145,11,2019,13,Academic,13967.94071
